DEP;DEPNOMBRE;MUN;MUNNOMBRE;ZONA;PUESTO;PUESNOMBRE;MESA;CORCODIGO;CORNOMBRE;MESAFUERATERMINOS;OBSERVACIONNOVEDADMESA;FECHALLEGADA;SUFRAGANTES;ESTADOSOBRE;TOTALVOTOSURNA;TOTALVOTOSINCINERADOS;CANTIDADFIRMAS;SUFRAGANTESSEGUNE11;TACHADURASBORRONES;OBSERVACIONTACHADURASBORRONES;RECUENTOJURADOS;RECUENTOJURADOSSOLICITADOPOR;RECUENTOSOLICITADOREPRESENTACIONPARTIDO;OBSERVACIONRECONTADA;RECONTADAAUXILIAR;RECONTADAZONAL;RECONTADAMUNICIPAL;RECONTADAGENERAL;RECONTADANACIONAL;EXCLUIDA;MODIFICADA;APELADA
21;MAGDALENA;001;SANTA MARTA;01;01;I.E.D.LICEODELSURVICTORDELIMA;001;01;PRESIDENTE;NO;;;207;BUEN ESTADO;207;0;6;207;NO;;NO;;;;NO;NO;NO;NO;NO;NO;NO;NO;
21;MAGDALENA;001;SANTA MARTA;01;01;I.E.D.LICEODELSURVICTORDELIMA;002;01;PRESIDENTE;NO;;;232;BUEN ESTADO;232;0;6;232;NO;;NO;;;;NO;NO;NO;NO;NO;NO;SI;NO;
21;MAGDALENA;001;SANTA MARTA;01;01;I.E.D.LICEODELSURVICTORDELIMA;003;01;PRESIDENTE;NO;;;264;BUEN ESTADO;264;0;5;264;NO;;NO;;;;NO;NO;NO;NO;NO;NO;SI;NO;
21;MAGDALENA;001;SANTA MARTA;01;01;I.E.D.LICEODELSURVICTORDELIMA;004;01;PRESIDENTE;NO;;;190;BUEN ESTADO;190;0;6;190;NO;;NO;;;;NO;NO;NO;NO;NO;NO;SI;NO;
21;MAGDALENA;001;SANTA MARTA;01;01;I.E.D.LICEODELSURVICTORDELIMA;005;01;PRESIDENTE;NO;;;204;BUEN ESTADO;204;0;6;204;NO;;NO;;;;NO;NO;NO;NO;NO;NO;SI;NO;
21;MAGDALENA;001;SANTA MARTA;01;01;I.E.D.LICEODELSURVICTORDELIMA;006;01;PRESIDENTE;NO;;;237;BUEN ESTADO;236;0;6;237;NO;;NO;;;;NO;NO;NO;NO;NO;NO;SI;NO;
21;MAGDALENA;001;SANTA MARTA;01;01;I.E.D.LICEODELSURVICTORDELIMA;007;01;PRESIDENTE;NO;;;250;BUEN ESTADO;250;0;6;250;NO;;NO;;;;NO;NO;NO;NO;NO;NO;SI;NO;
21;MAGDALENA;001;SANTA MARTA;01;01;I.E.D.LICEODELSURVICTORDELIMA;008;01;PRESIDENTE;NO;;;224;BUEN ESTADO;224;0;6;224;NO;;NO;;;;NO;NO;NO;NO;NO;NO;SI;NO;
21;MAGDALENA;001;SANTA MARTA;01;01;I.E.D.LICEODELSURVICTORDELIMA;009;01;PRESIDENTE;NO;;;231;BUEN ESTADO;231;0;6;231;NO;;NO;;;;NO;NO;NO;NO;NO;NO;SI;NO;
21;MAGDALENA;001;SANTA MARTA;01;01;I.E.D.LICEODELSURVICTORDELIMA;010;01;PRESIDENTE;NO;;;242;BUEN ESTADO;242;0;6;242;NO;;NO;;;;NO;NO;NO;NO;NO;NO;SI;NO;
